ID,Filename,Output File,Status,Method,Created,Duration (s),Size (KB),Gender,Language,Surrogate,Error
741,call_20241113_009.wav,anonymized_20260212_102314_450.wav,completed,both,2026-02-12 10:22:59,15.01,11350.0,female,english,english_female_person_PERSON,
740,call_20230323_001.wav,anonymized_20260212_102247_327.wav,completed,both,2026-02-12 10:22:40,9.04,5286.3,female,english,english_female_person_PERSON,
739,call_20230323_001.wav,anonymized_20260212_102235_768.wav,completed,both,2026-02-12 10:22:28,8.54,5286.3,female,english,english_female_person_PERSON,
738,call_20230323_001.wav,anonymized_20260212_101559_247.wav,completed,both,2026-02-12 10:15:50,9.32,5286.3,female,english,english_female_person_PERSON,
737,call_20240927_002.wav,anonymized_20260212_101047_565.wav,completed,both,2026-02-12 10:10:42,5.40,5006.0,female,english,english_female_location_LOCATION,
736,call_20240927_002.wav,anonymized_20260212_100708_003.wav,completed,both,2026-02-12 10:07:02,5.49,5006.0,female,english,english_female_location_LOCATION,
735,call_20241111_006.wav,anonymized_20260212_095616_576.wav,completed,both,2026-02-12 09:56:01,17.12,9419.7,male,english,english_male_person_PERSON,
734,call_20241111_006.wav,anonymized_20260212_095343_202.wav,completed,both,2026-02-12 09:53:31,12.44,9419.7,male,english,english_male_person_PERSON,
733,call_20241111_006.wav,anonymized_20260212_094835_238.wav,completed,both,2026-02-12 09:48:26,9.53,9419.7,male,english,english_male_person_PERSON,
732,call_20241111_006.wav,anonymized_20260212_094712_524.wav,completed,both,2026-02-12 09:47:01,11.38,9419.7,male,english,english_male_person_PERSON,
731,call_20241111_006.wav,anonymized_20260212_094645_808.wav,completed,both,2026-02-12 09:46:35,10.98,9419.7,male,english,english_male_person_PERSON,
730,call_20230323_001.wav,anonymized_20260212_093958_161.wav,completed,both,2026-02-12 09:39:50,7.56,5286.3,female,english,english_female_person_PERSON,
729,call_20241111_006.wav,anonymized_20260212_093929_245.wav,completed,both,2026-02-12 09:39:19,9.96,9419.7,male,english,english_male_person_PERSON,
728,call_20241111_006.wav,anonymized_20260212_093841_908.wav,completed,both,2026-02-12 09:38:19,22.05,9419.7,male,english,english_male_person_PERSON,
727,call_20240925_001.wav,anonymized_20260212_093746_094.wav,completed,both,2026-02-12 09:37:37,8.63,5794.1,female,english,english_female_person_PERSON,
726,call_20240925_001.wav,anonymized_20260212_093405_650.wav,completed,both,2026-02-12 09:33:55,10.01,5794.1,female,english,english_female_person_PERSON,
725,call_20230323_001.wav,anonymized_20260212_093300_861.wav,completed,both,2026-02-12 09:32:51,9.38,5286.3,female,english,english_female_person_PERSON,
724,call_20240925_001.wav,anonymized_20260212_093251_407.wav,completed,both,2026-02-12 09:32:42,8.88,5794.1,female,english,english_female_person_PERSON,
723,call_20240925_001.wav,anonymized_20260212_093237_379.wav,completed,both,2026-02-12 09:32:28,8.82,5794.1,female,english,english_female_person_PERSON,
722,call_20240925_001.wav,anonymized_20260212_092553_988.wav,completed,both,2026-02-12 09:25:47,6.51,5794.1,female,english,english_female_person_PERSON,
721,call_20241105_004.wav,anonymized_20260212_091734_086.wav,completed,both,2026-02-12 09:17:23,10.92,6629.7,female,english,english_female_person_PERSON,
720,call_20241105_004.wav,anonymized_20260212_091511_888.wav,completed,both,2026-02-12 09:14:54,17.84,6629.7,female,english,english_female_person_PERSON,
719,call_20241105_004.wav,anonymized_20260212_091246_471.wav,completed,both,2026-02-12 09:12:37,8.63,6629.7,female,english,english_female_person_PERSON,
718,call_20240924_003.wav,anonymized_20260212_090424_817.wav,completed,both,2026-02-12 09:04:20,4.10,3204.4,female,english,english_female_person_PERSON,
717,call_20241105_003.wav,anonymized_20260212_085724_552.wav,completed,both,2026-02-12 08:57:19,5.41,5399.4,female,english,english_female_person_PERSON,
716,call_20241105_003.wav,anonymized_20260212_085708_255.wav,completed,both,2026-02-12 08:57:02,6.03,5399.4,female,english,english_female_person_PERSON,
715,call_20240924_002.wav,anonymized_20260212_085555_864.wav,completed,both,2026-02-12 08:55:52,3.45,3078.8,female,english,english_female_person_PERSON,
